id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,availability_365
801544,1657181,Charlie,De Pijp - Rivierenbuurt,52.35205,4.90267,Entire home/apt,160,6
802052,4221960,Peter,Centrum-Oost,52.36476,4.90925,Private room,77,301
816940,4290554,Joyce,Zuid,52.353229999999996,4.85421,Entire home/apt,85,0
818085,3788898,Christa & Yvon,Centrum-West,52.3767,4.8919,Private room,103,294
818881,4297337,Liesbeth,Centrum-Oost,52.36123,4.89619,Entire home/apt,122,172
834233,4364462,Margot,Centrum-Oost,52.37272,4.90418,Private room,125,150
835627,3054367,Dorine,Centrum-Oost,52.368990000000004,4.9160699999999995,Entire home/apt,180,0
847093,4663170,Raoul,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,150,23
851044,4443833,Nova Team,Zuid,52.34025,4.8466,Entire home/apt,127,151
853645,4398387,Joyce,De Pijp - Rivierenbuurt,52.35327,4.88703,Entire home/apt,800,0
854328,1347048,Family Of 5,De Baarsjes - Oud-West,52.37262,4.873419999999999,Entire home/apt,196,93
862411,4520552,Simone,Centrum-West,52.38139,4.88541,Entire home/apt,180,223
865328,4543444,Trinette,Zuid,52.35584,4.87401,Private room,130,232
870225,1118702,Tom,De Pijp - Rivierenbuurt,52.35262,4.89968,Entire home/apt,180,0
874076,4614541,Driss And Bettina,Centrum-Oost,52.361362,4.8904879999999995,Private room,126,255
874340,4615590,Marta,Noord-West,52.423790000000004,4.88851,Private room,74,343
874688,4585922,Alan,Oud-Oost,52.358940000000004,4.91171,Entire home/apt,359,153
877702,4614541,Driss And Bettina,Centrum-Oost,52.360490000000006,4.889819999999999,Private room,132,236
879986,3332206,Stef,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,89,328
884329,4684314,Frans,De Aker - Nieuw Sloten,52.343078999999996,4.788886,Private room,137,320
886192,4698057,Bjorn,Noord-Oost,52.38462,5.01234,Entire home/apt,90,0
890288,4724613,Cindy,Zuid,52.35637,4.8537300000000005,Entire home/apt,285,315
895684,4773348,Joep,Westerpark,52.37342,4.8693,Entire home/apt,250,271
901789,4817958,Bastian,De Baarsjes - Oud-West,52.368970000000004,4.8556099999999995,Entire home/apt,120,0
